Episode,Score,Steps,Epsilon,GhostsEaten
130,80,75,0.9493189912404517,0
131,40,16,0.9489392636439555,0
132,50,55,0.948559687938498,0
133,60,28,0.9481802640633227,0
134,70,100,0.9478009919576974,0
135,70,33,0.9474218715609144,0
136,280,110,0.9470429028122901,0
137,140,82,0.9466640856511652,0
138,70,43,0.9462854200169047,0
139,70,24,0.945906905848898,0
140,70,26,0.9455285430865585,0
141,50,12,0.9451503316693239,0
142,30,12,0.9447722715366562,0
143,220,215,0.9443943626280416,0
144,260,254,0.9440166048829903,0
145,80,38,0.9436389982410371,0
146,110,79,0.9432615426417408,0
147,90,91,0.9428842380246841,0
148,30,22,0.9425070843294743,0
149,60,44,0.9421300814957425,0
150,60,22,0.9417532294631442,0
151,80,32,0.941376528171359,0
152,140,35,0.9409999775600905,0
153,200,118,0.9406235775690664,0
154,40,11,0.9402473281380389,0
155,40,21,0.9398712292067838,0
156,310,262,0.9394952807151011,0
157,100,38,0.9391194826028151,0
158,160,101,0.938743834809774,0
159,260,140,0.9383683372758501,0
160,120,72,0.9379929899409398,0
161,110,150,0.9376177927449635,0
162,250,302,0.9372427456278656,0
163,280,125,0.9368678485296145,0
164,50,15,0.9364931013902027,0
165,60,58,0.9361185041496467,0
166,50,16,0.9357440567479869,0
167,110,54,0.9353697591252877,0
168,90,58,0.9349956112216377,0
169,100,58,0.9346216129771491,0
170,430,369,0.9342477643319582,0
171,50,26,0.9338740652262255,0
172,60,13,0.933500515600135,0
173,70,33,0.933127115393895,0
174,60,38,0.9327538645477376,0
175,120,111,0.9323807630019185,0
176,280,167,0.9320078106967178,0
177,150,62,0.9316350075724391,0
178,60,46,0.9312623535694102,0
179,300,104,0.9308898486279825,0
180,250,167,0.9305174926885313,0
181,60,47,0.9301452856914559,0
182,50,16,0.9297732275771794,0
183,420,339,0.9294013182861486,0
184,110,64,0.9290295577588341,0
185,230,154,0.9286579459357306,0
186,40,8,0.9282864827573564,0
187,80,26,0.9279151681642535,0
188,130,59,0.9275440020969878,0
189,130,55,0.927172984496149,0
190,90,55,0.9268021153023506,0
191,200,88,0.9264313944562297,0
192,120,65,0.9260608218984472,0
193,190,119,0.9256903975696879,0
194,40,8,0.92532012141066,0
195,110,68,0.9249499933620958,0
196,220,224,0.924580013364751,0
197,110,114,0.9242101813594051,0
198,250,136,0.9238404972868615,0
199,70,33,0.9234709610879468,0
200,130,47,0.9231015727035117,0
201,350,131,0.9227323320744303,0
202,40,20,0.9223632391416006,0
203,160,104,0.921994293845944,0
204,120,86,0.9216254961284057,0
205,320,141,0.9212568459299544,0
206,240,202,0.9208883431915824,0
207,240,148,0.9205199878543058,0
208,50,16,0.9201517798591641,0
209,50,29,0.9197837191472205,0
210,90,76,0.9194158056595616,0
211,30,11,0.9190480393372978,0
212,220,115,0.9186804201215629,0
213,80,38,0.9183129479535144,0
214,40,16,0.917945622774333,0
215,310,321,0.9175784445252233,0
216,130,81,0.9172114131474133,0
